date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:32:53 +0000 2017',942719311826763000,3128018072,b'Beka\xf0\x9f\x8c\xb9',"b'The way me and Sarah just cried on the phone, I can\xe2\x80\x99t even count the many days we have sat in front of a tv watchin\xe2\x80\xa6 https://t.co/8JoGSVovAl'","{'type': 'Point', 'coordinates': [-0.07558474, 51.50514919]}"
b'Mon Dec 18 11:32:53 +0000 2017',942719311763922000,398735467,b'RUMantic',"b""#Motivation\n#Inspiration\nSeriously\nStop glorifying FAKE\nIt's not EVER going to last https://t.co/dLUO9PkntX""","{'type': 'Point', 'coordinates': [-0.08945704, 51.55491451]}"
b'Mon Dec 18 11:32:54 +0000 2017',942719314939072000,2727817798,b'Asim Mirza',"b'@myurbo , still not working :-( https://t.co/vl45HjSYIM'","{'type': 'Point', 'coordinates': [-0.0705, 51.4203]}"
b'Mon Dec 18 11:32:57 +0000 2017',942719326985052000,15228978,b'\xe2\xad\x90\xef\xb8\x8f\xf0\x9f\x8e\x84Lewisham Libraries\xf0\x9f\x8e\x84\xe2\xad\x90\xef\xb8\x8f',b'Sing along! #BabyBounce https://t.co/nDFPuMTksX',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:32:57 +0000 2017',942719328947929000,824637752574488000,b'OLIO',"b'""Unused 35mm Film (Expired and in-date)"" in #London #UnitedKingdom https://t.co/PuXwDrvtdn #zerowaste #free'","{'type': 'Point', 'coordinates': [-0.0265, 51.4788]}"
b'Mon Dec 18 11:33:00 +0000 2017',942719340700487000,2237304265,b'Neil Greig',b'@IAMRoadSmart also involved in project group for major Edinburgh and Belfast study https://t.co/9AuFKtPEn0',"{'type': 'Point', 'coordinates': [-0.12850307, 51.51738537]}"
b'Mon Dec 18 11:33:01 +0000 2017',942719343628115000,245450650,b'Morgan Rickman',b'Always show your workings',"{'type': 'Point', 'coordinates': [-0.09005455, 51.51368558]}"
b'Mon Dec 18 11:33:04 +0000 2017',942719356701761000,2846239749,b'Mondo Brewing Co',b'Looking for last-minute Xmas prezzie ideas? Our gift packs are perfect! \xc2\xa313 gets you 3 bottles\xe2\x80\xa6 https://t.co/5REaO5aGOT',"{'type': 'Point', 'coordinates': [-0.21053926, 51.49651728]}"
b'Mon Dec 18 11:33:05 +0000 2017',942719362439569000,102696382,b'Joe Grist\xf0\x9f\x8c\xb4',"b""@libbycwatson Because I'm really sad it's important to me that I point out the plural of Lego is Lego.""","{'type': 'Point', 'coordinates': [-0.17866893, 51.50069464]}"
b'Mon Dec 18 11:33:09 +0000 2017',942719378390429000,245308111,b'mona alhusseini',b'https://t.co/8vViock3uf',"{'type': 'Point', 'coordinates': [-0.16393661, 51.50671243]}"
b'Mon Dec 18 11:33:11 +0000 2017',942719385487192000,3102358551,b'Martin C PT',b'Bit of Shadow Boxing and some old school tunes to get me loosened up on a Monday\xe2\x80\xa6 https://t.co/FnBZeLj6re',"{'type': 'Point', 'coordinates': [-0.14293573, 51.5244522]}"
b'Mon Dec 18 11:33:11 +0000 2017',942719387638943000,219368965,"b""Denis O'Reilly""",b'@QoSBaszler Pro wrestling \xf0\x9f\x91\x8d\xf0\x9f\x91\x8c',"{'type': 'Point', 'coordinates': [-0.15505, 51.518724]}"
b'Mon Dec 18 11:33:12 +0000 2017',942719389815603000,2263927031,b'Bridget Bryer',b'@JoelTaylorhack Doh!',"{'type': 'Point', 'coordinates': [-0.15295833, 51.51460499]}"
b'Mon Dec 18 11:33:16 +0000 2017',942719410166534000,21561933,b'Rosie Matheson',b'My friend was photographed at work by one of my favourite photographers ever for a huge magazine and included me in\xe2\x80\xa6 https://t.co/GhN4tRItuL',"{'type': 'Point', 'coordinates': [-0.07166667, 51.52194444]}"
b'Mon Dec 18 11:33:18 +0000 2017',942719415522652000,840528835464564000,b'Dr. Richard Bloore',b'https://t.co/hWNyaAIrl7',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:33:20 +0000 2017',942719425295409000,593741888,b'Liz Thomson',"b'The Farage staffer, the Russian embassy and a smear campaign against a Kremlin critic\n\nhttps://t.co/r3qwskihdf'","{'type': 'Point', 'coordinates': [-0.32897856, 51.4840871]}"
b'Mon Dec 18 11:33:21 +0000 2017',942719429477007000,53674478,b'Victoria Barlow',b'Now we\xe2\x80\x99re getting another driver. Did I mention I hTe rail travel?!',"{'type': 'Point', 'coordinates': [-0.33065219, 51.48534617]}"
b'Mon Dec 18 11:33:22 +0000 2017',942719434497708000,403996572,b'Nigel',b'Not feeling today not one bit',"{'type': 'Point', 'coordinates': [-0.1271, 51.5063]}"
b'Mon Dec 18 11:33:24 +0000 2017',942719440319340000,722218593686069000,b'Mariama Diallo \xe2\x9c\xa8',b'This cold weather is not my friend. I need some sun back in my life .',"{'type': 'Point', 'coordinates': [-0.1271, 51.5063]}"
b'Mon Dec 18 11:33:24 +0000 2017',942719441418244000,68669771,b'Aalimah',"b'@AliShumon Loool mix it in with WHAM and some old skool tunes, this girl gets high on life \xf0\x9f\x98\x82'","{'type': 'Point', 'coordinates': [-0.1271, 51.5063]}"
b'Mon Dec 18 11:33:26 +0000 2017',942719449160994000,398735467,b'RUMantic',b'#motivation\n#INspiration https://t.co/zoNLEHUdEH',"{'type': 'Point', 'coordinates': [-0.15505, 51.518724]}"
b'Mon Dec 18 11:33:27 +0000 2017',942719452944232000,293698185,b'Bridgette Parlma',b'@Newmie5 #word bro \xf0\x9f\x91\x88\xf0\x9f\x91\x8d\xe2\x9d\xa4',"{'type': 'Point', 'coordinates': [0.216667, 51.9333]}"
b'Mon Dec 18 11:33:28 +0000 2017',942719460489814000,284556062,b'Le D\xc3\xa9lice E17',b'#Walthamstow #Pizza #Jerk #Chicken #Specials #MondayMotivation https://t.co/xyR75lWAFX',"{'type': 'Point', 'coordinates': [-0.33013933, 51.48466979]}"
