date,tweetid,userid,username,text,coordinates
b'Mon Dec 18 13:57:02 +0000 2017',9.42756E+17,3375579785,b'BrugOpen',b'De brug over binnenhoofd Noordersluis in IJmuiden is weer dicht. Zie https://t.co/H1oG0ir1oZ #brugopen',"{'type': 'Point', 'coordinates': [4.83601182, 52.4489098]}"
b'Mon Dec 18 13:57:02 +0000 2017',9.42756E+17,600754088,b'Esther van den Bergh',b'@Aldusgeeraets Yep! \xf0\x9f\x98\x84\xf0\x9f\x91\x8d',"{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 13:57:04 +0000 2017',9.42756E+17,260316346,b'Mike James',b'@jzeferin0 @JamesMontemagno @pierceboggan @migueldeicaza This is the first I\xe2\x80\x99m hearing of it. Can you drop me an em\xe2\x80\xa6 https://t.co/S4PaaUUxkw',"{'type': 'Point', 'coordinates': [4.8510875, 52.3927633]}"
b'Mon Dec 18 13:57:05 +0000 2017',9.42756E+17,318351499,b'david whelan',b'@MsFrugalone Yes I know Leiden very well but from 20 years ago!',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:57:15 +0000 2017',9.42756E+17,7.32555E+17,b'Aad 168',"b'Mijn gouden tips voor Pinkpop 2018 zijn Libera!!!, The wonderfull boy group, en From the United Kingdom!!!!! Wil je\xe2\x80\xa6 https://t.co/SESytGUlxj'","{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:57:17 +0000 2017',9.42756E+17,46179169,b'VR-i.nl',b'Wat houd jou tegen? https://t.co/4gpaT62lxJ',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:57:27 +0000 2017',9.42756E+17,75615029,b'Kristel v Wingerden',"b'Hoe jij je dag begint maakt het verschil. Je kunt elke dag dezelfde tijd je wekker af laten gaan, naar je telefoon\xe2\x80\xa6 https://t.co/SFNBMzgWlt'","{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:58:08 +0000 2017',9.42756E+17,3041307431,b'JazzmineParis',b'i had tears in my eyes when i was on school and saw the tweet #IlluminateWordTour is over. https://t.co/XCKyPqOlXO',"{'type': 'Point', 'coordinates': [4.88180332, 52.36368899]}"
b'Mon Dec 18 13:58:45 +0000 2017',9.42756E+17,27319688,b'Karin',b'De drukste week van het jaar qua werk en een hele zielige baby van 5 maanden met koorts... fijne combi',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 13:59:05 +0000 2017',9.42756E+17,3041307431,b'JazzmineParis',b'that was it i guess #IlluminateWorldTour',"{'type': 'Point', 'coordinates': [4.7686333, 52.3972894]}"
b'Mon Dec 18 13:59:24 +0000 2017',9.42756E+17,28377532,b'Guto',b'@anasama a culpa n\xc3\xa3o foi minha \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/42CrJGrHyE',"{'type': 'Point', 'coordinates': [4.611793, 52.467293]}"
b'Mon Dec 18 13:59:32 +0000 2017',9.42756E+17,3041307431,b'JazzmineParis',b'idk what to do with my life rn tbh',"{'type': 'Point', 'coordinates': [4.88725586, 52.39398971]}"
b'Mon Dec 18 13:59:38 +0000 2017',9.42756E+17,1166383453,b'Trendinalia NL',b'Trend Alert: #GlazenHuis. More trends at https://t.co/tOVVBU3TJP #trndnl https://t.co/ngBGFgRt3R',"{'type': 'Point', 'coordinates': [4.88725586, 52.39398971]}"
b'Mon Dec 18 14:00:06 +0000 2017',9.42756E+17,121493492,b'DANNYonPC',"b""3 DANNYonPC's together https://t.co/q53Sq9Cf78""","{'type': 'Point', 'coordinates': [4.88725586, 52.39398971]}"
b'Mon Dec 18 14:00:33 +0000 2017',9.42756E+17,1901380195,b'Mr Downside \xe2\x9b\x84',"b""fuck off you're actually mentally ill https://t.co/y4ngsif4xs""","{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 14:00:46 +0000 2017',9.42757E+17,3793007775,b'Natasja\xe2\x99\xa1',b'@GraemeSYoung I love you',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 14:00:59 +0000 2017',9.42757E+17,2926933131,b'marijuana maternal figure \xf0\x9f\x8c\xbf',b'whats that wave of pure exhaustion that hits me like a ton of bricks every afternoon around 1-3 pm',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 14:01:03 +0000 2017',9.42757E+17,121493492,b'DANNYonPC',b'@Hitman i did last year :p https://t.co/5mIlfXtFBF',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 14:01:04 +0000 2017',9.42757E+17,600754088,b'Esther van den Bergh',b'@Aldusgeeraets Ik volg @Rotko_db nu dus zal het gaan zien/horen!',"{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 14:02:19 +0000 2017',9.42757E+17,32282093,b'TMJ-NET Sales Jobs',"b'Want to work in #Amsterdam, NH? View our latest opening: https://t.co/md5NPCH9Fr #DellJobs #Sales #Job #Jobs #Hiring #CareerArc'","{'type': 'Point', 'coordinates': [4.8932, 52.3731]}"
b'Mon Dec 18 14:02:26 +0000 2017',9.42757E+17,249271487,b'Lex Westmaas',"b""I'm at WM @webministratie in Aalsmeer, North Holland https://t.co/ZStK6mg4vM""","{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 14:02:34 +0000 2017',9.42757E+17,7.94641E+17,b'\xd0\xaf\xd1\x80\xd0\xbe\xd1\x81\xd0\xbb\xd0\xb0\xd0\xb2 \xd0\x9a\xd0\xbe\xd1\x80\xd1\x88\xd0\xb0\xd0\xba',b'@zezechai \xd0\xa1\xd0\xb0\xd0\xbb\xd0\xb0\xd1\x82 \xd1\x96\xd0\xb7 \xd0\xbf\xd0\xb5\xd1\x87\xd0\xb5\xd0\xbd\xd0\xb8\xd0\xbc \xd0\xb3\xd0\xb0\xd1\x80\xd0\xb1\xd1\x83\xd0\xb7\xd0\xbe\xd0\xbc \xd0\xba\xd0\xb0\xd0\xb4\xd1\x80\xd0\xbe\xd0\xb2\xd0\xb8\xd0\xbc\xd0\xb8 \xd0\xb3\xd0\xbe\xd1\x80\xd1\x96\xd1\x85\xd0\xb0\xd0\xbc\xd0\xb8 \xd1\x96 \xd0\xb7\xd0\xb0\xd0\xbf\xd1\x80\xd0\xb0\xd0\xb2\xd0\xba\xd0\xbe\xd1\x8e \xd1\x96\xd0\xb7 \xd1\x87\xd0\xb0\xd1\x81\xd0\xbd\xd0\xb8\xd0\xba\xd1\x83',"{'type': 'Point', 'coordinates': [4.76402388, 52.30918069]}"
b'Mon Dec 18 14:02:54 +0000 2017',9.42757E+17,1036621110,b'Alija',b'I AM DONE!',"{'type': 'Point', 'coordinates': [4.8922, 52.3731]}"
b'Mon Dec 18 14:02:55 +0000 2017',9.42757E+17,28377532,b'Guto',b'EU TB REPAREI AHAHAHAHHHAHAHAHAHHHHAHAHAHHAHAHHAHAHAHAH https://t.co/BdMxKK8DVl',"{'type': 'Point', 'coordinates': [4.76194429, 52.30944443]}"
b'Mon Dec 18 14:03:11 +0000 2017',9.42757E+17,9.11883E+17,b'\xf0\x9f\x92\x8eInked Goddess Vally\xf0\x9f\x92\x8e',b'When your property starts tributing your girlfriend and forgets about serving his owner first \xf0\x9f\xa4\x94 what a dirty dog is\xe2\x80\xa6 https://t.co/3OMwveESsJ',"{'type': 'Point', 'coordinates': [4.87972, 52.35194]}"
