date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:55:19 +0000 2017',942724957230043000,4850023534,b'Rossano Nicoletto',"b'Incontri casuali in viaggio per Ancona, Jesi, Perugia. #genegnocchi #RossanoNicoletto #RIVS\xe2\x80\xa6 https://t.co/8e03Ib6Fe7'","{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:55:45 +0000 2017',942725066428764000,1123102842,b'vittoria',"b'Mdr enft yavais un devoir en anglais ptdr je vise le 0,5'","{'type': 'Point', 'coordinates': [11.7158, 44.35182]}"
b'Mon Dec 18 11:55:58 +0000 2017',942725119956471000,931183445258199000,b'\xd9\x85\xd9\x86\xd8\xb0\xd8\xb1 \xd8\xa3\xd8\xa8\xd9\x86 \xd9\x85\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x85\xd8\xa7\xd8\xa1',b'#\xd9\x85\xd8\xad\xd9\x85\xd8\xaf_\xd8\xad\xd8\xb3\xd9\x86 https://t.co/PRWLPsBid6',"{'type': 'Point', 'coordinates': [10.75836277, 44.50965162]}"
b'Mon Dec 18 11:56:10 +0000 2017',942725169482813000,2848545947,b'my lord',b'Ah guarda io \xc3\xa8 la prima che faccio e mi serve solo per raggruppare la gente lmao comunque tu di + https://t.co/U9HL3qtCDq',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 11:56:26 +0000 2017',942725237262692000,4896346714,b'mohammad yaghuby',b'@hajirpejman \xd8\xa8\xd8\xa7\xdb\x8c\xd8\xaf \xd8\xac\xd8\xa7\xdb\x8c \xd8\xb1\xd8\xac\xd9\x88\xdb\x8c \xd8\xac\xd8\xa7\xd9\x86\xd9\x88\xd8\xb1 \xda\xaf\xd8\xb2\xdb\x8c\xd9\x86\xd9\x87 \xdb\x8c \xd9\x87\xdb\x8c\xda\x86\xda\xa9\xd8\xaf\xd8\xa7\xd9\x85 \xd9\x85\xdb\x8c\xd8\xa8\xd9\x88\xd8\xaf.',"{'type': 'Point', 'coordinates': [11.3445, 44.4895]}"
b'Mon Dec 18 11:56:55 +0000 2017',942725361925869000,2848545947,b'my lord',b'\xc3\x88 morto un ragazzo della mie et\xc3\xa0 ieri mattina ed \xc3\xa8 gi\xc3\xa0 il terzo in un mese\nChe vita',"{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 11:57:28 +0000 2017',942725499868139000,218283286,b'Nara Bomboniere',b'#bombonierematrimonio  sposini stilizzati #narabomboniere  collezione 2018 @ NARA BOMBONIERE https://t.co/WHkmAFgryB',"{'type': 'Point', 'coordinates': [11.34, 44.5]}"
b'Mon Dec 18 11:58:01 +0000 2017',942725637890019000,342073150,b'Neko Hiba Photo',b'moequeen_ as Mebd from Fate/Grand Order #cosplay #cosplayer #cosplayphotography#cosplayphoto\xe2\x80\xa6 https://t.co/Jy5YHAnWs4',"{'type': 'Point', 'coordinates': [10.93, 44.64]}"
b'Mon Dec 18 11:59:35 +0000 2017',942726030393008000,942712185695940000,b'notonlyitaly',"b'Want to spend a relaxing fairy tale weekend in #Veneto : go to Lake Garda and enjoy spa, traditional food and drago\xe2\x80\xa6 https://t.co/e3XVlf4NCp'","{'type': 'Point', 'coordinates': [11.34, 44.5]}"
b'Mon Dec 18 11:59:36 +0000 2017',942726035904319000,420254187,b'CGIL Emilia Romagna',"b'#IGalli @flaicgil:"" la politica deve sapere che dietro questo cartello alle mie spalle, lo zampone pi\xc3\xb9 grande del m\xe2\x80\xa6 https://t.co/LyOuY1NCVS'","{'type': 'Point', 'coordinates': [11.37024252, 44.52190742]}"
b'Mon Dec 18 12:00:44 +0000 2017',942726318759796000,2282820230,b'\xd8\xac\xd9\x88\xd8\xb2\xd9\xbe\xd9\x87\xd8\x8c \xd9\x85\xdb\x8c\xd8\xaa\xd9\x88\xd9\x86\xdb\x8c\xd9\x86 Beppe \xd8\xb5\xd8\xaf\xd8\xa7\xd9\x85 \xda\xa9\xd9\x86\xdb\x8c\xd9\x86!',b'\xd8\xaa\xd8\xa7 \xd8\xad\xd8\xa7\xd9\x84\xd8\xa7 \xd8\xa8\xd8\xa7 \xda\xa9\xd8\xb1\xd9\x87\xe2\x80\x8c\xd8\xa7\xdb\x8c\xe2\x80\x8c\xd9\x87\xd8\xa7 \xd8\xac\xd8\xb1 \xd9\x88 \xd8\xa8\xd8\xad\xd8\xab \xd9\x86\xda\xa9\xd8\xb1\xd8\xaf\xd9\x87 \xd8\xa8\xd9\x88\xd8\xaf\xdb\x8c\xd9\x85 \xda\xa9\xd9\x87 \xd8\xa7\xd9\x88\xd9\x86\xd9\x85 \xd8\xa7\xd9\x84\xd8\xa7\xd9\x86 \xda\xa9\xd8\xb1\xd8\xaf\xdb\x8c\xd9\x85! ^___^',"{'type': 'Point', 'coordinates': [10.93, 44.64]}"
b'Mon Dec 18 12:00:47 +0000 2017',942726333053980000,869873746559062000,b'Conci',b'@fdfpd @francescoge07 @Candid_S_Voce @IlMattinoFoggia @VIOLAMARTELLA46 @Bigalfry @cimbolano @fracasto\xe2\x80\xa6 https://t.co/VRsrLcbM81',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 12:00:57 +0000 2017',942726375781421000,628410944,b'Giuglia',b'Eminem falla una collaborazione',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
b'Mon Dec 18 12:00:59 +0000 2017',942726383045771000,908963722714124000,b'Spartaco \xf0\x9f\x94\xac Santi',b'\xe2\x80\x9cL\xe2\x80\x99intelligenza \xc3\xa8 stata assorbita in algoritmi non coscienti che per\xc3\xb2 funzionano in modo pi\xc3\xb9 efficace della mente..\xe2\x80\xa6 https://t.co/hnyYZJobes',"{'type': 'Point', 'coordinates': [11.3514, 44.5075]}"
