date,tweetid,userid,username,text
b'Mon Dec 18 08:44:36 +0000 2017',9.43E+17,594965921,b'Dr Boilers \xf0\x9f\x90\xb0',b'@LeamingtonSBC @alicewool @S1Whysall Too busy selling to stop! \xf0\x9f\x92\xa5\xf0\x9f\x90\xb0\xf0\x9f\x92\xa5 https://t.co/w0WpesDQcO'
b'Mon Dec 18 08:44:37 +0000 2017',9.43E+17,24362375,b'Edmund H Greaves',b'@standardnews SPOILER ALERT... bloody hell @standardnews ruining it for me.'
b'Mon Dec 18 08:44:37 +0000 2017',9.43E+17,702328661,b'Baki Banda',b'#SP17 #BBCNews #Sp17winnet #Mofarah #Clarebaldwin What are you wearing???? Or not in the mirror \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\x98\xb1 https://t.co/FSprToj2cG'
b'Mon Dec 18 08:44:38 +0000 2017',9.43E+17,7786722,b'Adrian Bradley',b'@robholley -moves to Camberwell-'
b'Mon Dec 18 08:44:39 +0000 2017',9.43E+17,231493116,b'Kevin Quinn',"b'Spot on today, Sean @seaningle @guardian @Kaepernick7 @BBCSPOTY'"
b'Mon Dec 18 08:44:40 +0000 2017',9.43E+17,1366879009,b'TheOliveShop',b'Just a few pics to let you know that #TheChristmasSpiritLivesHere...#Shaftesbury...\xf0\x9f\x8e\x84\xf0\x9f\x8e\x84\xf0\x9f\x8e\x84#JTG #Souvlaki #Christmas2017\xe2\x80\xa6 https://t.co/gXJ7mxHtRY'
b'Mon Dec 18 08:44:45 +0000 2017',9.43E+17,3341320083,b'The monia',"b'@caroliza_ \xc3\x89 bebida doce miga, desceu queimando \xf0\x9f\xa4\xa2\xf0\x9f\xa4\xa2\xf0\x9f\x98\x82'"
b'Mon Dec 18 08:44:46 +0000 2017',9.43E+17,357062129,b'Chop',b'@HearUsRoar19  https://t.co/ofMRUnBTuL'
b'Mon Dec 18 08:44:49 +0000 2017',9.43E+17,117841229,b'Rebecca \xe2\x9a\x93\xef\xb8\x8f',b'@districtline @tfl will you be part refunding people\xe2\x80\x99s travelcatds for the terrible service over the year? \xf0\x9f\xa4\x94 no of course not.'
b'Mon Dec 18 08:44:51 +0000 2017',9.43E+17,17016516,b'markhayo',b'Legatum \xe2\x80\x98Institute\xe2\x80\x99. Anyone? #r4today'
b'Mon Dec 18 08:44:55 +0000 2017',9.43E+17,223841267,b'David Cannon',b'Sadly the only highlight I could find from#SPOTY was how awful the BBC are at covering sport full stop. Shame only\xe2\x80\xa6 https://t.co/V7JOUVdxCn'
b'Mon Dec 18 08:44:56 +0000 2017',9.43E+17,352046401,b'\xd9\x85\xd8\xad\xd9\x85\xd8\xaf \xd9\x85\xd8\xb2\xd9\x8a\xd8\xaf \xd8\xa7\xd9\x84\xd8\xa8\xd9\x88\xd9\x8a\xd8\xba\xd9\x8a',b'\xd9\x84\xd8\xa7\xd9\x86\xd9\x8a \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd8\xb5\xd8\xad\xd8\xa7\xd8\xa8\xd9\x86\xd8\xa7 \xd8\xb4\xd8\xb1\xd9\x87\xd8\xa7\xd9\x86\n\xd9\x88 \xd9\x84\xd8\xa7 \xd9\x86\xd9\x8a \xd8\xb9\xd9\x84\xd9\x89 \xd8\xba\xd9\x8a\xd8\xb1\xd9\x87\xd9\x85\xc2\xa0 \xd8\xb9\xd8\xa7\xd8\xaa\xd8\xa8\n\n\xd8\xa8\xd8\xa7\xd9\x86  \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a\xc2\xa0 \xd9\x81 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xaf\xd8\xa7\xd9\x8a\xd8\xaf\xc2\xa0\xc2\xa0 \xd8\xa8\xd8\xa7\xd9\x86\n\xd9\x88 \xd8\xa8\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a\xc2\xa0 \xd9\x85\xd8\xa7\xd9\x84\xd9\x87\xd9\x85\xc2\xa0 \xd8\xb5\xd8\xa7\xd8\xad\xd8\xa8'
b'Mon Dec 18 08:44:58 +0000 2017',9.43E+17,293641133,b'Ross Fretten',"b'@startupstowers @KibbleApp Awesome, thanks - will do!'"
b'Mon Dec 18 08:44:58 +0000 2017',9.43E+17,223167785,b'Simon Mayhew',b'Last Monday in the office before Christmas! \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80'
b'Mon Dec 18 08:44:58 +0000 2017',9.43E+17,9.05E+17,b'\xd0\x98\xd0\xb2\xd0\xb0\xd0\xbd',b'@Tikititime Time for work.'
b'Mon Dec 18 08:45:06 +0000 2017',9.43E+17,8.83E+17,b'Hawk Hawkins',b'@HamzaAbdullah21 Crazy!'
b'Mon Dec 18 08:45:06 +0000 2017',9.43E+17,22512795,b'TMJ- LON HRTA Jobs',"b""We're #hiring! Read about our latest #job opening here: Spa Attendant - https://t.co/5Kp6IHwA0B #Hospitality #London, England #CareerArc"""
b'Mon Dec 18 08:45:09 +0000 2017',9.43E+17,8.41E+17,b'Dr. Richard Bloore',"b'California neighborhood looks like \'war zone\' after fire, resident says @CNNI https://t.co/m0puU1RW4Y\n\n""What was on\xe2\x80\xa6 https://t.co/mNMAn0g6Lj'"
b'Mon Dec 18 08:45:11 +0000 2017',9.43E+17,234126649,b'bee',"b'My manager at 8am: ""how can you look worse than me this morning?"" https://t.co/7NUGDnotIH'"
b'Mon Dec 18 08:45:09 +0000 2017',9.43E+17,2229959534,b'Coyne SalesMarketing',"b'""Christmas is doing a little something extra for someone."" Charles M. Schulz. Let me do more for you in the new yea\xe2\x80\xa6 https://t.co/Mfnqx4UUY5'"
b'Mon Dec 18 08:45:12 +0000 2017',9.43E+17,57368092,b'peter howard',b'@mchadders100 @david_conn Well you can  boast about our football team!\xf0\x9f\x99\x84'
b'Mon Dec 18 08:45:12 +0000 2017',9.43E+17,1087471868,b'Maria',b'Xmas party\xf0\x9f\x8e\x85\xf0\x9f\x8f\xbc\xf0\x9f\x8e\x84\xf0\x9f\x92\x8b @ The Grill on the Market https://t.co/jBmy1z7vUG'
b'Mon Dec 18 08:45:14 +0000 2017',9.43E+17,1243475917,b'andrea coltman',b'@IcelandAuroraSA thank you for your #follow appreciated. Wishing you a wonderful week \xf0\x9f\x98\x8a'
b'Mon Dec 18 08:45:14 +0000 2017',9.43E+17,2945620985,b'\xf0\x9f\x90\xbcCazza Anda \xf0\x9f\x90\xbc',b'#london #shardpics #shardlights #photography  #iphoneography #londonlife  #colour  #shardview #goodmorningpost\xe2\x80\xa6 https://t.co/8OivuK4LrG'
b'Mon Dec 18 08:45:16 +0000 2017',9.43E+17,2853257704,b'Nikki \xf0\x9f\x91\xb8\xf0\x9f\x8f\xbd',b'Awful \xf0\x9f\xa6\x86 https://t.co/ADpk6luSee'
b'Mon Dec 18 08:45:18 +0000 2017',9.43E+17,263195282,b'Ego Rodriguez',b'@ChrisJonesGeek Working mine hard as we speak'
b'Mon Dec 18 08:45:19 +0000 2017',9.43E+17,121473224,b'Lou',b'So cute \xf0\x9f\x98\xad https://t.co/KbJPJ6fub8'
b'Mon Dec 18 08:45:21 +0000 2017',9.43E+17,8.30E+17,b'\xf0\x9f\x8c\xa0 Cosmic Canes \xf0\x9f\x94\xb4\xe2\x9a\xaa\xef\xb8\x8f\xf0\x9f\x94\xb4\xe2\x9a\xaa\xef\xb8\x8f\xf0\x9f\x94\xb4\xe2\x9a\xaa\xef\xb8\x8f\xf0\x9f\x94\xb4',b'Do me a favour: go and listen to @LindseyStirling'
b'Mon Dec 18 08:45:22 +0000 2017',9.43E+17,1532284381,b'Adela Terrell',"b""Quote retweets don't count as an entry. Just spreading the word. https://t.co/ORXWBK5MCx"""
b'Mon Dec 18 08:45:23 +0000 2017',9.43E+17,2716099553,b'RunandfitnessGhidau',b'@TeamGB @Mo_Farah Congratulations!  You are a gifted man ..God bless you'
b'Mon Dec 18 08:45:25 +0000 2017',9.43E+17,40854900,b'Suzi Gage',b'@PeteEtchells @AdamRutherford Shouldnt we have been winning them back this time? We are playing quite the long game.....'
b'Mon Dec 18 08:45:27 +0000 2017',9.43E+17,31123,b'Cian \xf0\x9f\x95\xb9',b'@OJMiles I think so. Awakens was an expensive fan fic. This one is full Disney. I don\xe2\x80\x99t love them - they are both o\xe2\x80\xa6 https://t.co/kLHC4dZjyN'
b'Mon Dec 18 08:45:28 +0000 2017',9.43E+17,600172917,b'Fabio/Napoli',b'In the space of two days I have gone from home working at the bar in the warmth to lugging chairs across a frozen field.'
